None,date,ticker,adj_close
1525,2017-11-30,AAPL,171.85
1526,2017-11-29,AAPL,169.48
1527,2017-11-28,AAPL,173.07
1528,2017-11-27,AAPL,174.09
1529,2017-11-24,AAPL,174.97
1530,2017-11-22,AAPL,174.96
1531,2017-11-21,AAPL,173.14
1532,2017-11-20,AAPL,169.98
1533,2017-11-17,AAPL,170.15
1534,2017-11-16,AAPL,171.1
1535,2017-11-15,AAPL,169.08
1536,2017-11-14,AAPL,171.34
1537,2017-11-13,AAPL,173.97
1538,2017-11-10,AAPL,174.67
1539,2017-11-09,AAPL,175.88
1540,2017-11-07,AAPL,174.81
1541,2017-11-06,AAPL,174.25
1542,2017-11-03,AAPL,172.5
1543,2017-11-02,AAPL,168.11
1544,2017-11-01,AAPL,166.89
1545,2017-10-31,AAPL,169.04
1546,2017-10-30,AAPL,166.72
1547,2017-10-27,AAPL,163.05
1548,2017-10-26,AAPL,157.41
1549,2017-10-25,AAPL,156.405
1550,2017-10-24,AAPL,157.1
1551,2017-10-23,AAPL,156.17
1552,2017-10-20,AAPL,156.16
1553,2017-10-19,AAPL,155.98
1554,2017-10-18,AAPL,159.76
1555,2017-10-17,AAPL,160.47
1556,2017-10-16,AAPL,159.88
1557,2017-10-13,AAPL,156.99
1558,2017-10-12,AAPL,156.0
1559,2017-10-11,AAPL,156.55
1560,2017-10-10,AAPL,155.9
1561,2017-10-09,AAPL,155.84
1562,2017-10-06,AAPL,155.3
1563,2017-10-05,AAPL,155.39
1564,2017-10-04,AAPL,153.4508
1565,2017-10-03,AAPL,154.48
1566,2017-10-02,AAPL,153.81
1567,2017-09-29,AAPL,154.12
1568,2017-09-28,AAPL,153.28
1569,2017-09-27,AAPL,154.23
1570,2017-09-26,AAPL,153.14
1571,2017-09-25,AAPL,150.55
1572,2017-09-22,AAPL,151.89
1573,2017-09-21,AAPL,153.39
1574,2017-09-20,AAPL,156.07
1575,2017-09-19,AAPL,158.73
1576,2017-09-18,AAPL,158.67
1577,2017-09-15,AAPL,159.88
1578,2017-09-14,AAPL,158.28
1579,2017-09-13,AAPL,159.65
1580,2017-09-12,AAPL,160.82
1581,2017-09-11,AAPL,161.5
1582,2017-09-08,AAPL,158.63
1583,2017-09-07,AAPL,161.26
1584,2017-09-06,AAPL,161.91
1585,2017-09-05,AAPL,162.08
1586,2017-09-01,AAPL,164.05
1587,2017-08-31,AAPL,164.0
1588,2017-08-30,AAPL,163.35
1589,2017-08-29,AAPL,162.91
1590,2017-08-28,AAPL,161.47
1591,2017-08-25,AAPL,159.86
1592,2017-08-24,AAPL,159.27
1593,2017-08-23,AAPL,159.98
1594,2017-08-22,AAPL,159.78
1595,2017-08-21,AAPL,157.21
1596,2017-08-18,AAPL,157.5
1597,2017-08-17,AAPL,157.87
1598,2017-08-16,AAPL,160.95
1599,2017-08-15,AAPL,161.6
1600,2017-08-14,AAPL,159.85
1601,2017-08-11,AAPL,157.48
1602,2017-08-10,AAPL,155.27
1603,2017-08-09,AAPL,160.40914817191
1604,2017-08-08,AAPL,159.43310840282
1605,2017-08-04,AAPL,155.75801988454
1606,2017-08-03,AAPL,154.94133354715
1607,2017-08-02,AAPL,156.50498909557
1608,2017-08-01,AAPL,149.44364015394
1609,2017-07-31,AAPL,148.24848941629
1610,2017-07-28,AAPL,148.89586273252
1611,2017-07-27,AAPL,149.95157921745
1612,2017-07-26,AAPL,152.83986016677
1613,2017-07-25,AAPL,152.12276972418
1614,2017-07-24,AAPL,151.47539640795
1615,2017-07-21,AAPL,149.66275112251
1616,2017-07-20,AAPL,149.73246824888
1617,2017-07-19,AAPL,150.40972033355
1618,2017-07-18,AAPL,149.47351892239
1619,2017-07-17,AAPL,148.9556202694
1620,2017-07-14,AAPL,148.43772161642
1621,2017-07-13,AAPL,147.17285375241
1622,2017-07-12,AAPL,145.15105708788
1623,2017-07-11,AAPL,144.94190570879
1624,2017-07-10,AAPL,144.47380500321
1625,2017-07-07,AAPL,143.59736112893
1626,2017-07-06,AAPL,142.15322065427
1627,2017-07-05,AAPL,143.5077248236
1628,2017-07-03,AAPL,142.92010904426
1629,2017-06-30,AAPL,143.43800769724
1630,2017-06-29,AAPL,143.09938165491
1631,2017-06-28,AAPL,145.2406933932
1632,2017-06-27,AAPL,143.15913919179
1633,2017-06-26,AAPL,145.23073380372
1634,2017-06-23,AAPL,145.75859204618
1635,2017-06-22,AAPL,145.04150160359
1636,2017-06-21,AAPL,145.28053175112
1637,2017-06-20,AAPL,144.4240070558
1638,2017-06-19,AAPL,145.7486324567
1639,2017-06-16,AAPL,141.69507953817
1640,2017-06-15,AAPL,143.70691661321
1641,2017-06-14,AAPL,144.57340089801
1642,2017-06-13,AAPL,145.99762219371
1643,2017-06-12,AAPL,144.7327543297
1644,2017-06-09,AAPL,148.37796407954
1645,2017-06-08,AAPL,154.36367735728
1646,2017-06-07,AAPL,154.74214175754
1647,2017-06-06,AAPL,153.82585952534
1648,2017-06-05,AAPL,153.30796087235
1649,2017-06-02,AAPL,154.82181847338
1650,2017-06-01,AAPL,152.56099166132
1651,2017-05-31,AAPL,152.14268890314
1652,2017-05-30,AAPL,153.04901154586
1653,2017-05-26,AAPL,152.98925400898
1654,2017-05-25,AAPL,153.24820333547
1655,2017-05-24,AAPL,152.72034509301
1656,2017-05-23,AAPL,153.17848620911
1657,2017-05-22,AAPL,153.36771840924
1658,2017-05-19,AAPL,152.34188069275
1659,2017-05-18,AAPL,151.92357793457
1660,2017-05-17,AAPL,149.64283194355
1661,2017-05-16,AAPL,154.84173765234
1662,2017-05-15,AAPL,155.07080821039
1663,2017-05-12,AAPL,155.46919178961
1664,2017-05-11,AAPL,153.32788005131
1665,2017-05-10,AAPL,152.01857223874
1666,2017-05-09,AAPL,152.71290213935
1667,2017-05-08,AAPL,151.76067827566
1668,2017-05-05,AAPL,147.75340284929
1669,2017-05-04,AAPL,145.34308619433
1670,2017-05-03,AAPL,145.86879311907
1671,2017-05-02,AAPL,146.31514805518
1672,2017-05-01,AAPL,145.41251918439
1673,2017-04-28,AAPL,142.48641460326
1674,2017-04-27,AAPL,142.62528058338
1675,2017-04-26,AAPL,142.48720812314
1676,2017-04-25,AAPL,143.36920547689
1677,2017-04-24,AAPL,142.47649560468
1678,2017-04-21,AAPL,141.1175927992
1679,2017-04-20,AAPL,141.28621577506
1680,2017-04-19,AAPL,139.54047202496
1681,2017-04-18,AAPL,140.05625995113
1682,2017-04-17,AAPL,140.68115686168
1683,2017-04-13,AAPL,139.90747497243
1684,2017-04-12,AAPL,140.65139986594
1685,2017-04-11,AAPL,140.48277689007
1686,2017-04-10,AAPL,142.01030267141
1687,2017-04-07,AAPL,142.17892564727
1688,2017-04-06,AAPL,142.49633360184
1689,2017-04-05,AAPL,142.85341755072
1690,2017-04-04,AAPL,143.59734244423
1691,2017-04-03,AAPL,142.53600959616
